Velocity,Escaped
0.37,0
15.98,1
5.8,0
15.23,1
19.33,1
14.19,1
10.14,0
9.02,0
10.46,0
16.45,1
8.5,0
1.46,0
10.19,0
7.28,0
1.95,0
7.27,0
19.29,1
19.66,1
5.5,0
3.92,0
14.15,1
2.23,0
18.01,1
5.44,0
15.6,1
16.15,1
14.24,1
0.39,0
2.19,0
17.91,1
19.69,1
7.59,0
18.1,1
14.14,1
5.19,0
12.65,1
16.41,1
9.27,0
1.99,0
2.23,0
9.67,0
0.91,0
8.14,0
19.37,1
4.11,0
16.36,1
16.48,1
11.43,1
10.44,0
7.41,0
2.9,0
3.28,0
12.59,1
14.36,1
2.07,0
17.27,1
12.63,1
3.11,0
11.72,1
19.17,1
15.29,1
19.98,1
9.48,0
17.0,1
13.96,1
18.49,1
2.66,0
18.15,1
9.65,0
13.6,1
18.7,1
9.71,0
3.35,0
7.43,0
9.64,0
2.18,0
5.26,0
2.81,0
9.82,0
19.5,1
1.46,0
0.28,0
2.83,0
1.56,0
4.85,0
18.12,1
4.43,0
17.88,1
13.78,1
4.88,0
3.49,0
6.5,0
6.28,0
0.84,0
18.31,1
10.72,0
15.36,1
5.02,0
8.04,0
17.94,1
