Hours_Slept,Hours_studied,results
4.85506424214691,9.63996156584471,1
8.62543975934386,0.058926530182362,0
3.82819153834134,0.723199234344065,0
7.15095483697951,3.8994204159826,1
6.47790044080466,8.1981805479154,1
1.92226950079203,1.33142726495862,0
8.97821588907391,0.993437510915101,1
6.63560307584703,8.54280267842114,1
7.67235895153135,5.41639979463071,1
4.8660153336823,2.04267129302025,0
6.86140496749431,9.65530971530825,1
8.54042132385075,2.59037422947586,1
3.71788065414876,5.38166211452335,0
9.18129712343216,0.171474646776915,1
9.56014002207667,0.024946485646069,0
5.97136947326362,4.18830187059939,1
9.4382026931271,1.94381244014949,1
4.35755101963878,9.88798331469297,1
4.54033196438104,6.71387335751206,1
1.54910163022578,9.37513216398656,0
8.08197371196002,9.8422068124637,1
9.62046500295401,2.09932753816247,1
8.83477097842842,3.15220412332565,1
1.75344853661954,4.21924260444939,0
1.04321283753961,2.60976511519402,0
1.19638318195939,7.47574485838413,0
8.91006988007575,8.23292794171721,1
4.52961874194443,4.90551154129207,1
1.85911241453141,5.69186755921692,0
9.55717884004116,1.64467191323638,1
7.1547012263909,8.01479019690305,1
2.34361852519214,2.95870685018599,0
2.92268448974937,8.21759491693229,1
6.33309623226523,7.24030498415232,1
0.925628175027669,3.42126710806042,0
7.87439056672156,7.79109335504472,1
8.3477510465309,1.86081250663847,1
5.58106113225222,2.49612929299474,0
5.09102909360081,9.8731340887025,1
4.53017137013376,3.76175899989903,0
1.42377798911184,0.228597926907241,0
9.0959601290524,1.06791704893112,1
4.00661591906101,9.79212785605341,1
8.976567434147,3.93515977077186,1
0.098052877001464,7.21451254095882,0
0.452388674020767,2.77469424530864,0
3.86304626706988,3.91320229042321,0
7.86385017447174,7.72638336755335,1
8.92270640935749,7.75421671103686,1
7.46436787769198,9.94517620652914,1
1.34192929137498,2.3428780445829,0
5.9409695956856,4.62063162587583,1
0.904077659361064,9.42092878278345,0
7.75053005665541,9.05717188492417,1
9.51792529318482,1.30118590313941,0
7.74378671310842,1.1544216889888,0
7.69192305859178,8.29822781961411,1
7.09227303043008,2.35745690762997,0
6.94443908054382,6.48470389191061,1
0.045024724677205,3.34600592963397,0
1.54596913140267,7.56770008709282,1
5.27238316833973,9.14961537346244,1
0.86040707770735,8.98818813730031,0
7.25343893282115,1.76251062192023,1
7.51730897929519,2.24892928730696,0
9.08162718638778,1.43735039979219,1
0.455678184516728,4.72229747567326,0
6.94970541633666,1.41129336319864,0
9.28214251529425,8.5293305432424,1
7.18081269413233,3.61076341941953,1
1.1324883857742,3.26491181273013,0
7.74652845226228,3.64301924593747,1
7.06536044832319,1.12132813315839,0
6.50581749156117,0.863102227449417,0
5.70052911061794,7.08354423288256,1
6.6604666877538,2.25395577959716,0
1.09147201757878,7.08437697496265,0
4.9030876159668,6.02547777816653,0
3.44310934189707,7.06634685862809,0
8.18297806195915,0.974986562505364,1
9.00037647690624,9.54932786058635,1
9.68310413882136,9.50704973191023,1
2.99191147554666,5.29921045992523,0
2.23818347789347,4.53484370373189,0
0.665478329174221,9.78263644035906,1
6.77931871265173,2.02818075194955,0
9.94784092996269,1.02645781356841,1
3.21484922431409,0.485058994963765,0
8.85164631064981,1.02791595738381,1
0.200057867914438,4.83405955135822,0
5.18546950537711,0.732630812563002,0
7.26008814759553,3.97413383238018,1
9.15051612537354,2.56233373191208,1
6.46089605987072,7.07629268988967,1
4.77857249323279,8.28287132550031,1
0.022279573604465,2.65842788852751,0
7.63063692953438,7.40535139571875,1
3.68499746546149,5.04996512085199,0
7.48425953555852,6.05939580593258,1
2.0307079795748,3.93726653419435,0
